Company,SpecificBeanOrigin,REF,ReviewDate,CocoaPercent,CompanyLocation,Rating,BeanType,BroadBeanOrigin
Idilio (Felchlin),"Carenero Superior, Urrutia, Barlovento",737,2011,0.7,Switzerland,4.0,Trinitario,Venezuela
Idilio (Felchlin),Coopertiva Amazona w/ nibs,737,2011,0.72,Switzerland,4.0,Criollo,Venezuela
Idilio (Felchlin),"Sur del Lago, Amiari Meridena, Zulia, w/ nibs",737,2011,0.72,Switzerland,4.0,,Venezuela
Just Good Chocolate,Peru,1375,2014,0.7,U.S.A.,4.0,,Peru
L.A. Burdick (Felchlin),Brazil,891,2012,0.7,U.S.A.,4.0,,Brazil
Madecasse (Cinagra),Madagascar,284,2008,0.63,Madagascar,4.0,Trinitario,Madagascar
Matale,"Somia, 2013",1177,2013,0.68,Australia,4.0,Trinitario,Madagascar
Matale,"Kulili P., 2013",1177,2013,0.74,Australia,4.0,Trinitario,Papua New Guinea
Michel Cluizel,Los Ancones P.,24,2006,0.67,France,4.0,,Dominican Republic
Michel Cluizel,Mangaro P.,24,2006,0.65,France,4.0,Trinitario,Madagascar
Michel Cluizel,Maralumi P.,24,2006,0.64,France,4.0,,Papua New Guinea
Ocelot,Piura,1558,2015,0.75,Scotland,4.0,Criollo,Peru
Pacari,"Sierra Nevada, Tutu Iku",1848,2016,0.7,Ecuador,4.0,,Colombia
Pacari,Tangara,1415,2014,0.7,Ecuador,4.0,,Ecuador
Pacari,Piura,863,2012,0.7,Ecuador,4.0,,Peru
Patric,Madagascar,331,2009,0.75,U.S.A.,4.0,Trinitario,Madagascar
Patric,Madagascar,196,2007,0.7,U.S.A.,4.0,Trinitario,Madagascar
Patric,"Piura, Choc. Garage Exclusive",1034,2013,0.67,U.S.A.,4.0,,Peru
Pierre Marcolini,Cabosse,111,2007,0.7,Belgium,4.0,Blend,"Venezuela, Java"
Pierre Marcolini,"Sambirano, Ambanja, Madagascar",141,2007,0.72,Belgium,4.0,Trinitario,Madagascar
Pierre Marcolini,"Porcelana, Tabasco, Limited Ed.",81,2006,0.72,Belgium,4.0,Criollo,Mexico
Pierre Marcolini,"Ocumare, Puerto Cabello, Venezuela",93,2006,0.72,Belgium,4.0,Criollo,Venezuela
Pralus,Claudio Corallo w/ nibs,162,2007,0.75,France,4.0,Forastero,Sao Tome
Pralus,Jamaique,32,2006,0.75,France,4.0,Trinitario,Jamaica
Pralus,Fortissima,93,2006,0.8,France,4.0,"Criollo, Trinitario",Ecuador
Ritual,Sambirano,891,2012,0.75,U.S.A.,4.0,Trinitario,Madagascar
Rogue,"Silvestre, Batch 7, 2013",1081,2013,0.75,U.S.A.,4.0,,Bolivia
Santander (Compania Nacional),Colombian Dark,32,2006,0.7,Colombia,4.0,Forastero (Nacional),Colombia
Scharffen Berger,San Juan de Cheni,959,2012,0.78,U.S.A.,4.0,,Peru
Scharffen Berger,Asante,336,2009,0.65,U.S.A.,4.0,Forastero,Ghana
"Smooth Chocolator, The","Porcelana, Sorotaima,Machiques,batch pcl001",1740,2016,0.7,Australia,4.0,Criollo,Ecuador
"Smooth Chocolator, The",Camino Verde,1622,2015,0.72,Australia,4.0,,Ecuador
Soma,"Tien Giang, Black S., batch VIT60420.0",1828,2016,0.7,Canada,4.0,Trinitario,Vietnam
Soma,Porcelana,1594,2015,0.75,Canada,4.0,,Venezuela
Soma,Crazy 88,1077,2013,0.88,Canada,4.0,,"Guat., D.R., Peru, Mad., PNG"
Soma,"Maracaibo, El Vigia",1077,2013,0.7,Canada,4.0,Criollo,Venezuela
Soma,Equator,1081,2013,0.67,Canada,4.0,,"Peru, Dom. Rep"
Soma,"Bachelor's Hall E., St. Thomas Parish",1177,2013,0.7,Canada,4.0,Trinitario,Jamaica
Soma,"Dual Origins, Sambirano, Elvesia",867,2012,0.7,Canada,4.0,Blend,"Dom. Rep., Madagascar"
Soma,"Dancing in Your Head, 5 bean blend",867,2012,0.7,Canada,4.0,Blend,"Gre., PNG, Haw., Haiti, Mad"
Soma,Peruvian,676,2011,0.64,Canada,4.0,,Peru
Soma,"Three Amigos(Chuao, Wild Bolivia, D.R.)",676,2011,0.7,Canada,4.0,,"Ven, Bolivia, D.R."
Tobago Estate (Pralus),"Roxborough, Tobago",895,2012,0.7,France,4.0,Trinitario,Tobago
Valrhona,"Piura, Illanka, Quemazon",1510,2015,0.63,France,4.0,,Peru
Valrhona,"Otucan, Grand Cru",931,2012,0.69,France,4.0,,Venezuela
Valrhona,"Porcelana, Pedegral",757,2011,0.64,France,4.0,Criollo,Venezuela
Valrhona,Manjari,129,2007,0.64,France,4.0,"Criollo, Trinitario",Madagascar
Valrhona,Guanaja,63,2006,0.7,France,4.0,"Criollo, Trinitario",South America
Willie's Cacao,Los Llanos,1848,2016,0.7,U.K.,4.0,,Colombia
Woodblock,Ocumare,741,2011,0.7,U.S.A.,4.0,,Venezuela
